,Mean Error (cal/mol/K),Experimental Val (cal/mol/K),Predicted Val (cal/mol/K),MAE,STD,Year,Source,BASE_State
289,3.206541471617973,-3.3460803059273423,-0.13953883430936892,13.069549073561028,8.649104442124766,1999,PHB,ls
292,7.111995818194048,-7.1701720841300185,-0.058176265935970306,13.069549073561028,8.649104442124766,1999,PHB,ls
293,12.18698865247766,-12.189292543021033,-0.0023038905433714557,13.069549073561028,8.649104442124766,1999,PHB,ls
294,4.182600389227389,-4.182600382409178,6.818211079821034e-09,13.069549073561028,8.649104442124766,1999,PHB,ls
295,3.1069155803700976,-3.107074569789675,-0.00015898941957693,13.069549073561028,8.649104442124766,1999,PHB,ls
296,7.361376673040152,-7.361376673040152,-7.636458217933149e-17,13.069549073561028,8.649104442124766,2022,Modulating Polymerization Thermodynamics ofThiolactones Through Substituent andHeteroatom Incorporation,ls
299,4.804015296367113,-4.804015296367113,-9.438740557164065e-23,13.069549073561028,8.649104442124766,2022,Redesigned Hybrid Nylons with Optical Clarity and Chemical Recyclability,ls
300,3.918527928589013e-12,0.0,-3.918527928589013e-12,13.069549073561028,8.649104442124766,1997,"Calorimetric study of tetrahydro-1,3-oxazin-2-oneand poly(oxy-1,3-propanediyliminocarbonyl), and the polymerizatioddepolymerization equilibrium",ls
307,18.21223709369025,-18.21223709369025,-6.683218948862114e-24,13.069549073561028,8.649104442124766,1999,PHB,ls
312,3.585086042062524,-3.5850860420650092,-2.485580372042261e-12,13.069549073561028,8.649104442124766,1999,PHB,ls
313,13.312619502868069,-13.312619502868069,-4.5640610739932615e-37,13.069549073561028,8.649104442124766,2020,High-performance pan-tactic polythioesters with intrinsic crystallinity and chemical recyclability,ls
321,11.129917921717176,-19.120458891013385,-7.990540969296207,13.069549073561028,8.649104442124766,1999,PHB,ls
323,15.976668327355272,-22.705544933078393,-6.728876605723123,13.069549073561028,8.649104442124766,1999,PHB,ls
330,10.146373079936712,-23.183556405353727,-13.037183325417015,13.069549073561028,8.649104442124766,1999,PHB,ls
333,28.887135665432297,-37.04588910133843,-8.158753435906133,13.069549073561028,8.649104442124766,1999,PHB,ls
338,4.612810707456979,4.612810707456979,-1.474527700092795e-34,13.069549073561028,8.649104442124766,1999,PHB,ls
339,19.09655831739962,-19.09655831739962,-4.898233773330705e-52,13.069549073561028,8.649104442124766,1974,The Ring-Opening Polymerization of Sultones. VII. Thermodynamic Parameters of 3-Hydroxy-1-propane Sulfonic Acid Sultone for Ring-Opening Polymerization,ls
