FILE NAME,MEAN ERROR (cal/mol/K),RMSE (cal/mol/K)
XGB_LOOCV_4.csv,4.021940847913536,6.161707414666985
RF_LOOCV_3.csv,4.557870221548906,6.707726638016555
RF_LOOCV_2.csv,4.8784543445599295,8.620561242185248
XGB_LOOCV_3.csv,4.809739315784295,6.913276939693684
XGB_LOOCV_2.csv,4.652496969981,7.320035541834002
XGB_LOOCV_1.csv,4.703727058367437,7.5314253607553345
RF_LOOCV_4.csv,4.3928100796083545,6.354987456218644
SVR_LOOCV_3.csv,7.27269413563747,9.726739100546888
GP_LOOCV_4.csv,13.069549073561028,15.672272350779332
SVR_LOOCV_2.csv,8.238884204121394,12.222842878068462
GP_LOOCV_3.csv,13.599096012150014,16.448019959576524
SVR_LOOCV_4.csv,6.8820350980900376,8.720948303090292
GP_LOOCV_2.csv,15.736191001078893,19.88188760240999
KR_LOOCV_4.csv,230.36612255582668,722.3329013261742
KR_LOOCV_3.csv,593.9162728013393,2338.405393140245
KR_LOOCV_2.csv,2159.5059592534017,31415.759992127576
