FILE NAME,AVG TRAIN ERROR (cal/mol/K),AVG TEST ERROR (cal/mol/K)
SVR_4.csv,6.745478192769628,6.9600481210442
XGB_4.csv,1.5472254047122544,3.9085951044701095
XGB_1.csv,0.06933002542972318,4.689174682477387
SVR_2.csv,8.033406959278011,8.117648789192009
XGB_2.csv,0.8677397566799627,4.786567134460455
XGB_3.csv,1.4822139200742055,4.824111412615174
SVR_3.csv,7.026658952071198,7.262951046570156
GP_4.csv,8.56280457477509,13.076445221729655
RF_2.csv,2.064210733170788,4.950751739237422
KR_4.csv,24.76427998913769,345.69598173342274
RF_3.csv,1.7393286266745784,4.300495693763497
GP_3.csv,9.23572219851301,13.866604391424685
GP_2.csv,12.206455961760376,15.618793621735106
RF_4.csv,3.616912664054431,4.355501684377838
KR_2.csv,266.21946822021533,548.5013332425947
KR_3.csv,29.24205076393519,601.9917427839221
