FILE NAME,AVG TRAIN ERROR (cal/mol/K),AVG TEST ERROR (cal/mol/K)
SVR_4.csv,6.746113381711284,6.893279898730423
XGB_4.csv,1.535814494714495,4.106415186767942
XGB_1.csv,0.06852215830361162,4.738087265972765
SVR_2.csv,8.026065312515106,8.175665371955857
XGB_2.csv,0.8656919802335474,4.674721509203247
XGB_3.csv,1.4831588264503501,4.759748006788005
SVR_3.csv,7.053860682853991,7.046444077153131
GP_4.csv,8.558445208319513,13.181670109558638
RF_2.csv,2.06555373406367,4.966718429149966
KR_4.csv,16.472632699116367,220.4031393508321
RF_3.csv,1.7248825719270005,4.575559011044158
GP_3.csv,9.242129056274786,13.770682722831921
GP_2.csv,12.20344556888657,15.653735727356919
RF_4.csv,3.5996663473558557,4.449130503162841
KR_2.csv,225.86268815772326,478.8492356521129
KR_3.csv,12.393348923960357,252.9782052225365
