FILE NAME,MEAN ERROR (cal/mol/K),RMSE (cal/mol/K)
XGB_LOOCV_4.csv,3.930477322235685,6.124019718619005
RF_LOOCV_3.csv,4.5874021981919215,6.838294952065862
RF_LOOCV_2.csv,5.238371353784356,9.427625526379487
XGB_LOOCV_3.csv,4.501140007620574,6.826624575485491
XGB_LOOCV_2.csv,4.704485781609812,7.570708362324256
XGB_LOOCV_1.csv,4.6975143524006615,7.529302426042983
RF_LOOCV_4.csv,4.052594497702503,6.211676907484978
SVR_LOOCV_3.csv,7.119051006982724,9.545137611950002
GP_LOOCV_4.csv,13.070037355946662,15.673618181639926
SVR_LOOCV_2.csv,7.423080467345053,11.562146197851645
GP_LOOCV_3.csv,13.662182956607785,16.500801018836803
SVR_LOOCV_4.csv,6.785258488978577,8.616573869140423
GP_LOOCV_2.csv,15.791882232071329,19.92916661589624
KR_LOOCV_4.csv,6.17429624047681,7.906320076326155
KR_LOOCV_3.csv,218.5509649761796,436.8606623738698
KR_LOOCV_2.csv,6.979879338052536,10.147042972012242
