,PGTHERMO_PEP_ (kcal/mol),Tanimoto_Similarity,DIPOLE_gasteiger,DIPOLE_mmff94,DIPOLE_eem2015bm,MIX_dGsolv298(kJ/mol),MIX_dHsolv298(kJ/mol),MIX_dSsolv298(kJ/mol/K),MIX_logK,MIX_logP,SOLUTE_PARAM_E_GC,SOLUTE_PARAM_S_GC,SOLUTE_PARAM_A_GC,SOLUTE_PARAM_B_GC,SOLUTE_PARAM_L_GC,SOLUTE_PARAM_V_GC,SOLUTE_PARAM_E_ML,SOLUTE_PARAM_S_ML,SOLUTE_PARAM_A_ML,SOLUTE_PARAM_B_ML,SOLUTE_PARAM_L_ML,SOLUTE_PARAM_V_ML,RDKIT_MaxAbsEStateIndex,RDKIT_MaxEStateIndex,RDKIT_MinAbsEStateIndex,RDKIT_MinEStateIndex,RDKIT_qed,RDKIT_SPS,RDKIT_MolWt,RDKIT_HeavyAtomMolWt,RDKIT_ExactMolWt,RDKIT_NumValenceElectrons,RDKIT_NumRadicalElectrons,RDKIT_MaxPartialCharge,RDKIT_MinPartialCharge,RDKIT_MaxAbsPartialCharge,RDKIT_MinAbsPartialCharge,RDKIT_FpDensityMorgan1,RDKIT_FpDensityMorgan2,RDKIT_FpDensityMorgan3,RDKIT_BCUT2D_MWHI,RDKIT_BCUT2D_MWLOW,RDKIT_BCUT2D_CHGHI,RDKIT_BCUT2D_CHGLO,RDKIT_BCUT2D_LOGPHI,RDKIT_BCUT2D_LOGPLOW,RDKIT_BCUT2D_MRHI,RDKIT_BCUT2D_MRLOW,RDKIT_AvgIpc,RDKIT_BalabanJ,RDKIT_BertzCT,RDKIT_Chi0,RDKIT_Chi0n,RDKIT_Chi0v,RDKIT_Chi1,RDKIT_Chi1n,RDKIT_Chi1v,RDKIT_Chi2n,RDKIT_Chi2v,RDKIT_Chi3n,RDKIT_Chi3v,RDKIT_Chi4n,RDKIT_Chi4v,RDKIT_HallKierAlpha,RDKIT_Ipc,RDKIT_Kappa1,RDKIT_Kappa2,RDKIT_Kappa3,RDKIT_LabuteASA,RDKIT_PEOE_VSA1,RDKIT_PEOE_VSA10,RDKIT_PEOE_VSA11,RDKIT_PEOE_VSA12,RDKIT_PEOE_VSA13,RDKIT_PEOE_VSA14,RDKIT_PEOE_VSA2,RDKIT_PEOE_VSA3,RDKIT_PEOE_VSA4,RDKIT_PEOE_VSA5,RDKIT_PEOE_VSA6,RDKIT_PEOE_VSA7,RDKIT_PEOE_VSA8,RDKIT_PEOE_VSA9,RDKIT_SMR_VSA1,RDKIT_SMR_VSA10,RDKIT_SMR_VSA2,RDKIT_SMR_VSA3,RDKIT_SMR_VSA4,RDKIT_SMR_VSA5,RDKIT_SMR_VSA6,RDKIT_SMR_VSA7,RDKIT_SMR_VSA8,RDKIT_SMR_VSA9,RDKIT_SlogP_VSA1,RDKIT_SlogP_VSA10,RDKIT_SlogP_VSA11,RDKIT_SlogP_VSA12,RDKIT_SlogP_VSA2,RDKIT_SlogP_VSA3,RDKIT_SlogP_VSA4,RDKIT_SlogP_VSA5,RDKIT_SlogP_VSA6,RDKIT_SlogP_VSA7,RDKIT_SlogP_VSA8,RDKIT_SlogP_VSA9,RDKIT_TPSA,RDKIT_EState_VSA1,RDKIT_EState_VSA10,RDKIT_EState_VSA11,RDKIT_EState_VSA2,RDKIT_EState_VSA3,RDKIT_EState_VSA4,RDKIT_EState_VSA5,RDKIT_EState_VSA6,RDKIT_EState_VSA7,RDKIT_EState_VSA8,RDKIT_EState_VSA9,RDKIT_VSA_EState1,RDKIT_VSA_EState10,RDKIT_VSA_EState2,RDKIT_VSA_EState3,RDKIT_VSA_EState4,RDKIT_VSA_EState5,RDKIT_VSA_EState6,RDKIT_VSA_EState7,RDKIT_VSA_EState8,RDKIT_VSA_EState9,RDKIT_FractionCSP3,RDKIT_HeavyAtomCount,RDKIT_NHOHCount,RDKIT_NOCount,RDKIT_NumAliphaticCarbocycles,RDKIT_NumAliphaticHeterocycles,RDKIT_NumAliphaticRings,RDKIT_NumAromaticCarbocycles,RDKIT_NumAromaticHeterocycles,RDKIT_NumAromaticRings,RDKIT_NumHAcceptors,RDKIT_NumHDonors,RDKIT_NumHeteroatoms,RDKIT_NumRotatableBonds,RDKIT_NumSaturatedCarbocycles,RDKIT_NumSaturatedHeterocycles,RDKIT_NumSaturatedRings,RDKIT_RingCount,RDKIT_MolLogP,RDKIT_MolMR,RDKIT_fr_C_O,RDKIT_fr_C_O_noCOO,RDKIT_fr_aldehyde,RDKIT_fr_allylic_oxid,RDKIT_fr_ester,RDKIT_fr_ether,RDKIT_fr_lactone,STERIC_backbone_length,STERIC_ratioSideChainContainingAtoms,STERIC_wienerIndex,STERIC_chiralCenters,STERIC_radiusGyration,STERIC_spherocity,STERIC_vdwVolume,STERIC_totalVolume,STERIC_numBridgeheadAtoms,STERIC_numStereocenters,dS (J/mol/K),BASE_Monomer_State_g,BASE_Monomer_State_l,BASE_Monomer_State_s,BASE_polymerization_type_ROMP,BASE_polymerization_type_ROP,BASE_polymerization_type_ROP-S,BASE_polymerization_type_Vinyl,BASE_polymerization_type_cationic,BASE_polymerization_type_cyclic,BASE_polymerization_type_ionic,BASE_polymerization_type_misc,BASE_polymerization_type_vinyl,BASE_Polymer_State_g,BASE_Polymer_State_s,BASE_Polymer_State_s 
0,-10.6,0.053,5.116370605138813,4.062266068611382,1.785730829302568,0.0,0.0,0.0,0.0,0.0,0.3624,1.062,0.0,0.3922,5.6149,1.3425,0.3404,1.2609,0.0258,0.6301,5.4204,1.3425,11.356111111111112,11.356111111111112,0.0219907407407409,-0.140625,0.572362235900361,22.90909090909091,156.225,140.09699999999998,156.115029752,64,0,0.3115449894957967,-0.465266761248248,0.465266761248248,0.3115449894957967,1.4545454545454546,2.090909090909091,2.4545454545454546,16.535891361936233,9.770534011573895,2.3785305111139334,-2.323400796668165,2.356573967980473,-2.356451899405971,5.76807056843116,-0.1622800887975919,2.063161760430198,2.6928675001798137,147.64172284395272,8.319990956308912,7.352030486860464,7.352030486860464,5.249147428401219,4.421797159211592,4.421797159211592,3.2269094487643346,3.2269094487643346,2.8193901670363584,2.8193901670363584,1.7228073246483755,1.7228073246483755,-0.53,338.3585287105525,8.565510983763133,3.244738765570308,1.3939887844520793,67.92802411902382,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951848,4.794537184071822,0.0,0.0,0.0,13.847474399381248,25.68328649170404,0.0,12.021872433909696,9.53140013787187,5.969305287951848,0.0,0.0,5.414990469396779,39.53076089108529,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,5.414990469396779,39.53076089108529,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,11.384295757348628,6.606881964512918,25.68328649170404,0.0,0.0,0.0,13.847474399381248,4.736862953800049,5.036666666666667,0.0,11.356111111111112,0.0,-0.140625,0.0219907407407409,0.0,3.8858333333333337,4.7566898148148145,0.0,0.8888888888888888,11,0,2,0,1,1,0,0,0,2,0,2,2,0,1,1,1,2.1298000000000004,43.20800000000001,1,1,0,0,1,1,1,8,0.38,262.0,0,2.1339077402173205,0.4795638686330855,268.7192692174566,1509.8410517348457,0,0,-79.6,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
1,-10.6,0.053,5.116370605138813,4.062266068611382,1.785730829302568,0.0,0.0,0.0,0.0,0.0,0.3624,1.062,0.0,0.3922,5.6149,1.3425,0.3404,1.2609,0.0258,0.6301,5.4204,1.3425,11.356111111111112,11.356111111111112,0.0219907407407409,-0.140625,0.572362235900361,22.90909090909091,156.225,140.09699999999998,156.115029752,64,0,0.3115449894957967,-0.465266761248248,0.465266761248248,0.3115449894957967,1.4545454545454546,2.090909090909091,2.4545454545454546,16.535891361936233,9.770534011573895,2.3785305111139334,-2.323400796668165,2.356573967980473,-2.356451899405971,5.76807056843116,-0.1622800887975919,2.063161760430198,2.6928675001798137,147.64172284395272,8.319990956308912,7.352030486860464,7.352030486860464,5.249147428401219,4.421797159211592,4.421797159211592,3.2269094487643346,3.2269094487643346,2.8193901670363584,2.8193901670363584,1.7228073246483755,1.7228073246483755,-0.53,338.3585287105525,8.565510983763133,3.244738765570308,1.3939887844520793,67.92802411902382,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951848,4.794537184071822,0.0,0.0,0.0,13.847474399381248,25.68328649170404,0.0,12.021872433909696,9.53140013787187,5.969305287951848,0.0,0.0,5.414990469396779,39.53076089108529,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,5.414990469396779,39.53076089108529,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,11.384295757348628,6.606881964512918,25.68328649170404,0.0,0.0,0.0,13.847474399381248,4.736862953800049,5.036666666666667,0.0,11.356111111111112,0.0,-0.140625,0.0219907407407409,0.0,3.8858333333333337,4.7566898148148145,0.0,0.8888888888888888,11,0,2,0,1,1,0,0,0,2,0,2,2,0,1,1,1,2.1298000000000004,43.20800000000001,1,1,0,0,1,1,1,8,0.38,262.0,0,2.1339077402173205,0.4795638686330855,268.7192692174566,1509.8410517348457,0,0,-79.6,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
2,-10.6,0.048,5.1228756000053615,4.140369194446694,1.7021474862089474,0.0,0.0,0.0,0.0,0.0,0.3624,1.062,0.0,0.3922,6.6001,1.6243,0.3167,1.2091,0.0308,0.6371,6.283,1.6243,11.67388888888889,11.67388888888889,0.0578240740740743,-0.1232638888888888,0.6278494411057972,21.23076923076923,184.27899999999997,164.11899999999997,184.14632988,76,0,0.3115660595630114,-0.4652665068033942,0.4652665068033942,0.3115660595630114,1.3076923076923077,1.9230769230769231,2.3846153846153846,16.535908763963704,9.744101122910102,2.3949881430269113,-2.3414552432820783,2.383547034261712,-2.367015656699614,5.769268940538923,-0.1630700473341529,2.1112181591244004,2.6654119515735206,163.41931732199149,9.734204518682008,8.76624404923356,8.76624404923356,6.249147428401219,5.421797159211592,5.421797159211592,4.019802667577787,4.019802667577787,2.922943557629632,2.922943557629632,2.3668097258787673,2.3668097258787673,-0.53,861.3770089227553,10.550192461908578,4.635211794254168,2.2315123104801304,80.65790834781707,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951848,4.794537184071822,0.0,0.0,0.0,26.689117645233267,25.68328649170404,0.0,12.021872433909696,9.53140013787187,5.969305287951848,0.0,0.0,5.414990469396779,52.372404136937305,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,5.414990469396779,52.372404136937305,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,11.384295757348628,6.606881964512918,38.524929737556064,0.0,0.0,0.0,13.847474399381248,4.736862953800049,5.16,0.0,11.67388888888889,0.0,-0.1232638888888888,0.0578240740740743,0.0,6.238888888888888,4.909328703703704,0.0,0.9090909090909092,13,0,2,0,1,1,0,0,0,2,0,2,4,0,1,1,1,2.910000000000001,52.44200000000004,1,1,0,0,1,1,1,8,0.47,386.0,0,2.5840579269470783,0.4271339861062408,317.5773181660851,1784.3576065957266,0,0,-70.2,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
3,-10.6,0.044,5.084577201623159,4.153617269909919,2.032242208070669,0.0,0.0,0.0,0.0,0.0,0.3624,1.062,0.0,0.3922,7.5853,1.9061,0.2828,1.1961,0.0311,0.6495,7.3308,1.9061,11.905748299319727,11.905748299319727,0.0793055555555557,-0.1207638888888888,0.627582737490734,20.0,212.3329999999999,188.14099999999996,212.177630008,88,0,0.3115664223876579,-0.4652665047751417,0.4652665047751417,0.3115664223876579,1.2,1.8,2.2666666666666666,16.53591386453786,9.735773791068535,2.3995569359977895,-2.3471536968015747,2.3930681274047005,-2.369534097183641,5.769455567148028,-0.1632123507680347,2.2668577824670324,2.5940596415592667,190.71263381833467,11.148418081055103,10.180457611606656,10.180457611606656,7.249147428401219,6.421797159211592,6.421797159211592,4.726909448764334,4.726909448764334,3.483603729409453,3.483603729409453,2.4400330305821303,2.4400330305821303,-0.53,2470.8749828890654,12.539108500345543,6.13997654048518,3.217127346571398,93.3877925766103,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951848,4.794537184071822,0.0,0.0,0.0,39.53076089108528,25.68328649170404,0.0,12.021872433909696,9.53140013787187,5.969305287951848,0.0,0.0,5.414990469396779,65.21404738278933,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,5.414990469396779,65.21404738278933,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,11.384295757348628,6.606881964512918,38.524929737556064,12.84164324585202,0.0,0.0,13.847474399381248,4.736862953800049,5.2490022675736965,0.0,11.905748299319727,0.0,-0.1207638888888888,0.0793055555555557,0.0,8.801197562358276,5.0021768707483,0.0,0.9230769230769232,15,0,2,0,1,1,0,0,0,2,0,2,6,0,1,1,1,3.6902000000000026,61.67600000000005,1,1,0,0,1,1,1,8,0.53,554.0,0,3.0867954252253496,0.3190402920523961,366.4353671147136,2058.874161456608,0,0,-53.9,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
4,-10.6,0.043,5.131392871582205,4.125876431840413,2.1191435362003985,0.0,0.0,0.0,0.0,0.0,0.3624,1.062,0.0,0.3922,8.5704,2.1879,0.2414,1.2265,0.0264,0.6541,8.3813,2.1879,12.082406462585034,12.082406462585034,0.0934778911564628,-0.1224305555555556,0.4619582437679634,19.058823529411764,240.38699999999992,212.16299999999995,240.208930136,100,0,0.3115664252948643,-0.4652665047674104,0.4652665047674104,0.3115664252948643,1.0588235294117647,1.6470588235294117,2.1176470588235294,16.53591715596842,9.73304270586892,2.40097957416316,-2.349012112325839,2.396809269336344,-2.3701361366323006,5.769498057273551,-0.1632511475138779,2.333804040576117,2.513049247804553,212.96170940174355,12.5626316434282,11.594671173979751,11.594671173979751,8.24914742840122,7.421797159211592,7.421797159211592,5.434016229950881,5.434016229950881,3.9836037294094537,3.9836037294094537,2.8364796399888563,2.8364796399888563,-0.53,6609.333042911563,14.530716454159078,7.730217091796613,4.326807912308667,106.11767680540348,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951848,4.794537184071822,0.0,0.0,0.0,52.372404136937305,25.68328649170404,0.0,12.021872433909696,9.53140013787187,5.969305287951848,0.0,0.0,5.414990469396779,78.05569062864136,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,5.414990469396779,78.05569062864136,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,11.384295757348628,6.606881964512918,25.68328649170404,38.524929737556064,0.0,0.0,13.847474399381248,4.736862953800049,5.316285430839002,0.0,12.082406462585034,0.0,-0.1224305555555556,0.0934778911564628,0.0,11.483400730662636,5.063526706979088,0.0,0.9333333333333332,17,0,2,0,1,1,0,0,0,2,0,2,8,0,1,1,1,4.470400000000004,70.91000000000005,1,1,0,0,1,1,1,8,0.58,774.0,0,3.2935997829274832,0.1708122707019961,415.2934160633421,2333.390716317489,0,0,-46.5,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
5,-10.6,0.041,5.132111779699442,4.150412183569057,2.2222798609018466,0.0,0.0,0.0,0.0,0.0,0.3624,1.062,0.0,0.3922,9.5556,2.4697,0.2178,1.2315,0.0245,0.6781,9.4232,2.4697,12.22148825270849,12.22148825270849,0.1034693877551022,-0.125265022675737,0.3993164475460914,18.31578947368421,268.4409999999999,236.18499999999997,268.240230264,112,0,0.3115664253059729,-0.4652665047673963,0.4652665047673963,0.3115664253059729,0.9473684210526316,1.5263157894736843,2.0,16.53592008654398,9.732087096973302,2.4014933536988834,-2.349639447646291,2.398440135908644,-2.3702865556474957,5.769514735501937,-0.1632550327746572,2.427544425053308,2.435339296165606,235.6466197975092,13.976845205801297,13.008884736352847,13.008884736352847,9.24914742840122,8.421797159211591,8.421797159211591,6.141123011137429,6.141123011137429,4.483603729409452,4.483603729409452,3.1900330305821303,3.1900330305821303,-0.53,18051.2203446964,16.52414185165133,9.385857547491003,5.540592547663273,118.84756103419672,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951848,4.794537184071822,0.0,0.0,0.0,65.21404738278933,25.68328649170404,0.0,12.021872433909696,9.53140013787187,5.969305287951848,0.0,0.0,5.414990469396779,90.89733387449338,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,5.414990469396779,90.89733387449338,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,11.384295757348628,6.606881964512918,25.68328649170404,51.36657298340809,0.0,0.0,13.847474399381248,4.736862953800049,5.36894746787604,0.0,12.22148825270849,0.0,-0.125265022675737,0.1034693877551022,0.0,14.241595860949216,5.106430720053555,0.0,0.9411764705882352,19,0,2,0,1,1,0,0,0,2,0,2,10,0,1,1,1,5.250600000000005,80.14400000000006,1,1,0,0,1,1,1,8,0.62,1054.0,0,3.780278129266592,0.2481022969867591,464.1514650119705,2607.90727117837,0,0,-65.6,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
6,-10.6,0.033,5.102512620472412,4.1523416830049165,1.6753161552139992,0.0,0.0,0.0,0.0,0.0,0.3033,1.1857,0.0,0.4488,3.6527,0.7789,0.4287,1.5051,-0.0025,0.6077,3.6651,0.7789,10.240833333333336,10.240833333333336,0.035879629629629,-0.035879629629629,0.4189761112049289,21.428571428571427,100.117,92.05299999999998,100.052429496,40,0,0.3052797764816462,-0.4656747525684177,0.4656747525684177,0.3052797764816462,1.4285714285714286,2.2857142857142856,2.5714285714285716,16.533605508435304,10.202356788271072,2.0614054886089708,-2.0775592203612607,2.036541938452669,-2.1049970036320667,5.692568689623944,-0.1461777194033515,1.6856161633204378,2.2495440947344707,70.14933958998697,5.112884175122364,4.144923705673916,4.144923705673916,3.393846850117352,2.5504768156519497,2.5504768156519497,1.6775769616440317,1.6775769616440317,1.0382881181567851,1.0382881181567851,0.6295726575261484,0.6295726575261484,-0.53,47.19725257297226,4.624559505409582,1.958669537588103,1.1803344211294082,42.4682556614374,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951848,4.794537184071822,0.0,0.0,0.0,0.0,12.84164324585202,6.4208216229260096,6.606881964512918,9.53140013787187,5.969305287951848,0.0,0.0,0.0,19.26246486877803,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,0.0,19.26246486877803,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,5.969305287951848,13.027703587438928,12.84164324585202,0.0,0.0,0.0,4.736862953800049,0.0,4.638888888888889,0.0,10.240833333333336,0.0,0.0,-0.035879629629629,0.0,2.685092592592593,0.6377314814814814,0.0,0.8,7,0,2,0,1,1,0,0,0,2,0,2,0,0,1,1,1,0.7135,24.809999999999988,1,1,0,0,1,1,1,8,0.11,114.0,0,1.7017954673968574,0.3825560245379978,171.0031713201996,960.8079420130832,0,0,-30.8,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
7,-10.6,1.0,5.169550179831688,4.151061790498969,2.457535038076511,-38.12,-67.62,-0.099,6.68,3.18,0.3462,1.2897,0.0,0.3741,6.1242,1.4834,0.3447,1.4595,0.0035,0.6133,6.0764,1.4834,10.883938570798689,10.883938570798689,0.0025448790627364,0.0025448790627364,0.4786654741539233,23.75,170.25199999999998,152.10799999999998,170.130679816,70,0,0.3055564347155611,-0.4623635345729879,0.4623635345729879,0.3055564347155611,1.5,2.3333333333333335,3.0,16.544087699037075,10.028953471313129,2.1860012146346457,-2.213438516024675,2.1837641627201267,-2.226596597157674,5.696444858028824,-0.1535480148338687,2.050037828243418,2.097727745725677,142.77400566229178,8.811554787871634,7.843594318423186,7.843594318423186,5.82569850269549,5.021107303566926,5.021107303566926,3.499878507023497,3.499878507023497,2.3347655948775525,2.3347655948775525,1.6030857830080365,1.6030857830080365,-0.53,571.9605540799137,9.557183958151702,5.175013037303056,3.244738765570308,74.29296623342044,4.736862953800049,6.103966387748303,0.0,0.0,0.0,5.969305287951848,4.794537184071822,0.0,0.0,0.0,19.765380445542643,25.68328649170404,6.4208216229260096,0.0,9.53140013787187,5.969305287951848,0.0,0.0,0.0,57.973454947921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.073271675700152,9.53140013787187,0.0,51.8694885601727,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,12.073271675700152,6.4208216229260096,19.26246486877803,19.26246486877803,0.0,0.0,6.923737199690624,4.736862953800049,5.193945578231293,0.0,10.883938570798689,0.0,0.0,0.0025448790627364,0.0,7.732189783320735,2.1873811885865457,0.0,0.9,12,0,2,0,1,1,0,0,0,2,0,2,4,0,1,1,1,2.6624000000000008,47.87300000000003,1,1,0,0,1,1,1,8,0.43,384.0,0,3.010336347664146,0.1371914760733558,293.14829369177085,1647.099329165286,0,1,-57.0,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
8,-10.6,0.061,4.896504364089154,3.9911420319572097,1.6477888190807426,0.0,0.0,0.0,0.0,0.0,0.3462,1.2897,0.0,0.3741,4.1539,0.9198,0.3896,1.4193,-0.0009,0.6108,4.1293,0.9198,10.45125,10.45125,0.0381944444444442,-0.0381944444444442,0.4406811446205409,29.625,114.144,104.06399999999998,114.06807956,46,0,0.3055463044366053,-0.462658421973494,0.462658421973494,0.3055463044366053,1.75,2.5,2.875,16.54346530528674,10.120202736063648,2.1419467967563524,-2.1673040746949246,2.1163739553294296,-2.193640738318356,5.695852110927455,-0.151928194141501,1.6423714487439025,2.336356083029012,98.70165766734146,5.983127663125442,5.015167193676994,5.015167193676994,3.787693700234704,2.9831025011061416,2.9831025011061416,2.1927053408400368,2.1927053408400368,1.3241815698499642,1.3241815698499642,0.8761003604130647,0.8761003604130647,-0.53,64.0524865010122,5.603868808567603,2.158633811658892,1.218715724306959,48.833197775834,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951848,4.794537184071822,0.0,0.0,0.0,0.0,19.765380445542643,6.4208216229260096,6.103966387748303,9.53140013787187,5.969305287951848,0.0,0.0,0.0,32.29016845621695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.073271675700152,9.53140013787187,0.0,26.186202068468653,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,12.073271675700152,6.4208216229260096,12.84164324585202,0.0,0.0,6.923737199690624,0.0,4.736862953800049,4.847222222222222,0.0,10.45125,0.0,0.0,-0.0381944444444442,0.0,2.812083333333333,1.927638888888889,0.0,0.8333333333333334,8,0,2,0,1,1,0,0,0,2,0,2,0,0,1,1,1,1.102,29.404999999999987,1,1,0,0,1,1,1,8,0.2,146.0,0,1.9126657042564692,0.3259994812886799,195.43219579451383,1098.0662194435238,0,1,-41.2,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
9,-11.5,0.028,5.0043347831492335,4.139271228318022,1.770888380450724,0.0,0.0,0.0,0.0,0.0,0.2379,1.2786,0.0,0.6385,4.3422,0.9198,0.4436,1.368,0.0008,0.5619,4.1172,0.9198,10.460833333333332,10.460833333333332,0.0254629629629623,-0.0254629629629623,0.4407063292928371,21.75,114.144,104.06399999999998,114.06807956,46,0,0.3052775335658631,-0.4656750027435766,0.4656750027435766,0.3052775335658631,1.25,2.125,3.0,16.532639758362013,10.204844618648156,2.050493808063329,-1.934626435997457,2.057846138966598,-1.9965848326692348,5.688901398867398,-0.1421844849123149,1.940878457472244,2.26669651519302,78.52932501298082,5.819990956308912,4.852030486860464,4.852030486860464,3.893846850117352,3.0504768156519497,3.0504768156519497,2.031130352237305,2.031130352237305,1.2882881181567851,1.2882881181567851,0.8063493528227852,0.8063493528227852,-0.53,85.39865212877875,5.603868808567603,2.6984359410043637,1.5234757718400516,48.833197775834,4.736862953800049,0.0,0.0,0.0,0.0,5.969305287951848,4.794537184071822,0.0,0.0,0.0,0.0,19.26246486877803,6.4208216229260096,6.606881964512918,9.53140013787187,5.969305287951848,0.0,0.0,0.0,25.68328649170404,6.606881964512918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.576187252464766,9.53140013787187,0.0,25.68328649170404,0.0,0.0,0.0,0.0,26.3,0.0,4.794537184071822,0.0,5.969305287951848,13.027703587438928,19.26246486877803,0.0,0.0,0.0,0.0,4.736862953800049,4.763888888888889,0.0,10.460833333333332,0.0,0.0,-0.0254629629629623,0.0,3.829675925925926,0.6377314814814814,0.0,0.8333333333333334,8,0,2,0,1,1,0,0,0,2,0,2,0,0,1,1,1,1.1036,29.426999999999985,1,1,0,0,1,1,1,9,0.1,158.0,0,1.863525681625236,0.4144448861856784,195.43219579451383,1098.0662194435238,0,0,-6.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False
