Solvent,dS (J/mol/K),Temp (ºC),BASE_State,BASE_Category,Monomer SMILES,Canonical SMILES
chlorobenzene,-34,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
dimethyl sulfoxide,-22,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
dimethylformamide,-43,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
dioxane,-25,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
gamma valerolactone,-46,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
chloroform-D,-26.2,,ss,ROP,O=C1SCCCC1C,CC1CCCSC1=O
,-39.9,,ls,ROP,CC1SCCSC1=O,CC1SCCSC1=O
tetrahydrofuran,-23.7,,ss,ROP,O=C1CCCCS1,O=C1CCCCS1
,-30.8,,ls,ROP,O=C1CSCCS1,O=C1CSCCS1
toluene,-23.9,,ss,ROP,CC1SC(=O)C(C)SC1=O,CC1SC(=O)C(C)SC1=O
xylene,-15.0624,,ss,ROMP,COC(=O)C2[C@H]1CC/C=C\CC[C@@H]1C2C(=O)OC,COC(=O)C1C(C(=O)OC)[C@H]2CC/C=C\CC[C@H]12
xylene,-20.5,,ss,ROMP,O=C3[C@@H]2[C@H]1CC/C=C\CC[C@@H]1[C@@H]2C(=O)N3c4ccccc4,O=C1[C@@H]2[C@H]3CC/C=C\CC[C@@H]3[C@@H]2C(=O)N1c1ccccc1
toluene,-33.5,,ss,ROP,O=C1OCCCCCC1,O=C1CCCCCCO1
dioxane,-41,105,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
nitrobenzene,-25,40,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O
dichloromethane,6,100,ss,cationic,C[Si](C)(C)OP1(=O)OCCCO1,C[Si](C)(C)OP1(=O)OCCCO1
,-18.1,25,ls,cationic,C[Si]1(C)C[Si](C)(C)C1,C[Si]1(C)C[Si](C)(C)C1
,-71.2,25,ls,cationic,C[Si]1(CCC1)C,C[Si]1(C)CCC1
,-85.4,25,ls,cationic,C[Si]1(CCC1)C,C[Si]1(C)CCC1
,190,77,ls,cationic,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
,194.4,25,ls,cationic,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
,-20.9,,ls,cationic,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1
,-3.03,77,ls,cationic,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1
,51,25,ls,cationic,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1
,-57.4,25,ls,cationic,C[Si]1(CCC1)C2=CC=CC=C2,C[Si]1(c2ccccc2)CCC1
,-48,-73,ls,ROMP,C[Si](C)(C)C1CC2C=CC1C2,C[Si](C)(C)C1CC2C=CC1C2
,-13,-173,ls,ROMP,C[Si](C)(C)C1CC2C=CC1C2,C[Si](C)(C)C1CC2C=CC1C2
,-14,-73,ls,ROMP,C[Si](C)(C)C1CC2C=CC1C2,C[Si](C)(C)C1CC2C=CC1C2
,-4,-173,ls,ROMP,C[Si](C)(C)C1CC2C=CC1C2,C[Si](C)(C)C1CC2C=CC1C2
,-70,25,ls,ROMP,C[Si](C)(C)C1CC2C=CC1C2,C[Si](C)(C)C1CC2C=CC1C2
,-81,107,ls,ROMP,C[Si](C)(C)C1CC2C=CC1C2,C[Si](C)(C)C1CC2C=CC1C2
,-10,-173,ls,vinyl,C/C=C/C,C/C=C/C
,-17,-173,ls,vinyl,C/C=C/C,C/C=C/C
,-194,25,gg,vinyl,C/C=C/C,C/C=C/C
,-170,227,gg,vinyl,C/C=C/C,C/C=C/C
,-193,127,gg,vinyl,C/C=C/C,C/C=C/C
,-195,25,gg,vinyl,C/C=C/C,C/C=C/C
,-175,127,gg,vinyl,C/C=C/C,C/C=C/C
,-93,-73,ls,vinyl,C/C=C/C,C/C=C/C
,-100,-73,ls,vinyl,C/C=C/C,C/C=C/C
,-159,25,gg,vinyl,C/C=C/C,C/C=C/C
,-100,25,ls,vinyl,C/C=C/C,C/C=C/C
,-194,227,gg,vinyl,C/C=C/C(C)C,C/C=C/C(C)C
,-202,127,gg,vinyl,C/C=C/C(C)C,C/C=C/C(C)C
,-216,127,gg,vinyl,C/C=C/C(C)C,C/C=C/C(C)C
,-214,227,gg,vinyl,C/C=C/C(C)C,C/C=C/C(C)C
,-182,327,gg,vinyl,C/C=C/C(C)C,C/C=C/C(C)C
,-130,25,ls,vinyl,C/C=C/C(C)C,C/C=C/C(C)C
,-130,25,ls,vinyl,C/C=C/C(C)C,C/C=C/C(C)C
,-14,-173,ls,vinyl,CC/C=C/C,C/C=C/CC
,-18,-173,ls,vinyl,CC/C=C/C,C/C=C/CC
,-194,127,gg,vinyl,CC/C=C/C,C/C=C/CC
,-186,227,gg,vinyl,CC/C=C/C,C/C=C/CC
,-102,-73,ls,vinyl,CC/C=C/C,C/C=C/CC
,-118,25,ls,vinyl,CC/C=C/C,C/C=C/CC
,-111,-73,ls,vinyl,CC/C=C/C,C/C=C/CC
,-127,25,ls,vinyl,CC/C=C/C,C/C=C/CC
,-14,-173,ls,vinyl,C/C=C\C,C/C=C\C
,-21,-173,ls,vinyl,C/C=C\C,C/C=C\C
,-190,25,gg,vinyl,C/C=C\C,C/C=C\C
,-179,127,gg,vinyl,C/C=C\C,C/C=C\C
,-201,25,gg,vinyl,C/C=C\C,C/C=C\C
,-196,127,gg,vinyl,C/C=C\C,C/C=C\C
,-172,227,gg,vinyl,C/C=C\C,C/C=C\C
,-106,-73,ls,vinyl,C/C=C\C,C/C=C\C
,-99,-73,ls,vinyl,C/C=C\C,C/C=C\C
,-163,25,gg,vinyl,C/C=C\C,C/C=C\C
,-104,25,ls,vinyl,C/C=C\C,C/C=C\C
,-183,327,gg,vinyl,C/C=C\C(C)C,C/C=C\C(C)C
,-215,227,gg,vinyl,C/C=C\C(C)C,C/C=C\C(C)C
,-215,227,gg,vinyl,C/C=C\C(C)C,C/C=C\C(C)C
,-205,127,gg,vinyl,C/C=C\C(C)C,C/C=C\C(C)C
,-220,127,gg,vinyl,C/C=C\C(C)C,C/C=C\C(C)C
,-134,25,ls,vinyl,C/C=C\C(C)C,C/C=C\C(C)C
,-134,25,ls,vinyl,C/C=C\C(C)C,C/C=C\C(C)C
,-16,-173,ls,vinyl,CC/C=C\C,C/C=C\CC
,-20,173,ls,vinyl,CC/C=C\C,C/C=C\CC
,-185,227,gg,vinyl,CC/C=C\C,C/C=C\CC
,-195,127,gg,vinyl,CC/C=C\C,C/C=C\CC
,-111,-73,ls,vinyl,CC/C=C\C,C/C=C\CC
,-120,25,ls,vinyl,CC/C=C\C,C/C=C\CC
,-114,-73,ls,vinyl,CC/C=C\C,C/C=C\CC
,-129,25,ls,vinyl,CC/C=C\C,C/C=C\CC
,-66,-173,ls,vinyl,C=C,C=C
,-59,-173,ls,vinyl,C=C,C=C
,-311,227,gg,vinyl,C=C,C=C
,-336,25,gg,vinyl,C=C,C=C
,-334,127,gg,vinyl,C=C,C=C
,-172,25,gg,vinyl,C=C,C=C
,-174,25,gg,Vinyl,C=C,C=C
,-338,-73,gg,vinyl,C=C,C=C
,-317,127,gg,vinyl,C=C,C=C
,-325,25,gg,vinyl,C=C,C=C
,-331,-73,gg,vinyl,C=C,C=C
,142,25,gg,vinyl,C=C,C=C
,155,25,gg,vinyl,C=C,C=C
,158,25,gg,vinyl,C=C,C=C
,-75,173,ls,vinyl,CCC=C,C=CCC
,-69,-173,ls,vinyl,CCC=C,C=CCC
,-114,-73,ls,vinyl,CCC=C,C=CCC
,-107,-73,ls,vinyl,CCC=C,C=CCC
,-166,25,gg,vinyl,CCC=C,C=CCC
,-213,25,gg,vinyl,CCC=C,C=CCC
,-193,25,gg,vinyl,CCC=C,C=CCC
,-113,25,ls,vinyl,CCC=C,C=CCC
,-112,25,ls,vinyl,CCC=C,C=CCC
,-141,25,ls,vinyl,CCC=C,C=CCC
,-204,127,gg,vinyl,CCC=C,C=CCC
,-187,127,gg,vinyl,CCC=C,C=CCC
,-182,227,gg,vinyl,CCC=C,C=CCC
,-146,80,ss,vinyl,CC(=C)C(=O)O,C=C(C)C(=O)O
"1,2-Dichlorobenzene",-130,127,ss,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC
,-24.1,-73,ls,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC
,-9,-173,ls,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC
,-26,-73,ls,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC
,-10,-173,ls,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC
,-117,127,ls,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC
,-40,-63,ls,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC
,-105,25,ls,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC
,-115,77,ls,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC
,-110,25,ls,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC
,-118,77,ls,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC
,2,-173,ls,vinyl,CC(=C)C(=O)OC1=CC=CC=C1C(=O)O,C=C(C)C(=O)Oc1ccccc1C(=O)O
,-5,-73,ls,vinyl,CC(=C)C(=O)OC1=CC=CC=C1C(=O)O,C=C(C)C(=O)Oc1ccccc1C(=O)O
,-8,25,ls,vinyl,CC(=C)C(=O)OC1=CC=CC=C1C(=O)O,C=C(C)C(=O)Oc1ccccc1C(=O)O
,-85,227,ls,vinyl,CC(=C)C(=O)OC1=CC=CC=C1C(=O)O,C=C(C)C(=O)Oc1ccccc1C(=O)O
,-126,120,ls,vinyl,CCOC(=O)C(=C)C,C=C(C)C(=O)OCC
benzonitrile,-151,127,ss,vinyl,CC(=C)C#N,C=C(C)C#N
tetrahydrofuran,-122,-5,ss,vinyl,CC(=C)C1=CC2=CC=CC=C2C=C1,C=C(C)c1ccc2ccccc2c1
toluene,-125,10,ss,vinyl,CC(=C)C1=CC2=CC=CC=C2C=C1,C=C(C)c1ccc2ccccc2c1
cyclohexane,-163.3,22,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1
n-heptane,-51,-10,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1
tetrahydrofuran,-130,-20,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1
toluene,-47,-10,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1
,-110,20,ls,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1
tetrahydrofuran,-70,20,ss,vinyl,CC(=C)C1=CC=CC=N1,C=C(C)c1ccccn1
tetrahydrofuran,-96,20,ss,vinyl,C=C(C)c1ncco1,C=C(C)c1ncco1
tetrahydrofuran,-69,20,ss,vinyl,CC(=C)C1=NC=CS1,C=C(C)c1nccs1
,-105,87,ls,vinyl,C=C(CC)C(OC)=O,C=C(CC)C(=O)OC
,-25,-173,ls,vinyl,C=C(Cl)Cl,C=C(Cl)Cl
,-31,-173,ls,vinyl,C=C(Cl)Cl,C=C(Cl)Cl
,-198,127,gg,vinyl,C=C(Cl)Cl,C=C(Cl)Cl
,-201,25,gg,vinyl,C=C(Cl)Cl,C=C(Cl)Cl
,-191,127,gg,vinyl,C=C(Cl)Cl,C=C(Cl)Cl
,-195,25,gg,vinyl,C=C(Cl)Cl,C=C(Cl)Cl
,-97,-73,ls,vinyl,C=C(Cl)Cl,C=C(Cl)Cl
,-106,25,ls,vinyl,C=C(Cl)Cl,C=C(Cl)Cl
,-91,-73,ls,vinyl,C=C(Cl)Cl,C=C(Cl)Cl
,-112,25,ls,vinyl,C=C(Cl)Cl,C=C(Cl)Cl
,-109.5,25,ls,vinyl,C[Si](C)(C)(C=C),C=C[Si](C)(C)C
,-127.5,25,ls,vinyl,C[Si](C)(C=C)C1=CC=CC=C1,C=C[Si](C)(C)c1ccccc1
,-107.3,77,ls,vinyl,C[Si](C)(CC1=CC=CC=C1)C=C,C=C[Si](C)(C)Cc1ccccc1
,-83.5,25,ls,vinyl,C[Si](C)(CC1=CC=CC=C1)C=C,C=C[Si](C)(C)Cc1ccccc1
,-0.7,-73,ls,vinyl,C[Si](C)(CC1=CC=CC=C1)C=C,C=C[Si](C)(C)Cc1ccccc1
dimethylformamide,-108.8,83,ss,vinyl,C=C1CCCOC1=O,C=C1CCCOC1=O
,-191,25,gg,vinyl,CC=C,C=CC
,-136,25,ls,vinyl,CC=C,C=CC
,-116,25,ls,vinyl,CC=C,C=CC
,-116,25,ls,vinyl,CC=C,C=CC
,-205,25,gg,vinyl,CC=C,C=CC
,-167,25,gg,vinyl,CC=C,C=CC
,-113,25,ls,vinyl,CC=C,C=CC
,-101,25,ls,misc,CC(=C)C=C,C=CC(=C)C
,-107,177,ls,vinyl,CCOC(=O)C=C,C=CC(=O)OCC
,-104,127,ls,vinyl,CCOC(=O)C=C,C=CC(=O)OCC
,-88,25,ls,vinyl,CCOC(=O)C=C,C=CC(=O)OCC
,-3,-173,ls,vinyl,CCOC(=O)C=C,C=CC(=O)OCC
,-155,127,ls,vinyl,CCCCCCCCCCOC(=O)C=C,CCCCCCCCCCOC(=O)C=C
,-141,25,ls,vinyl,CCCCCCCCCCOC(=O)C=C,CCCCCCCCCCOC(=O)C=C
,-8,-73,ls,vinyl,CCCCCCCCCCOC(=O)C=C,CCCCCCCCCCOC(=O)C=C
,-4,173,ls,vinyl,CCCCCCCCCCOC(=O)C=C,CCCCCCCCCCOC(=O)C=C
,-60,57,ls,vinyl,C=CCOCCOC(=O)C=C,C=CCOCCOC(=O)C=C
,-56,25,ls,vinyl,C=CCOCCOC(=O)C=C,C=CCOCCOC(=O)C=C
,-29,-73,ls,vinyl,C=CCOCCOC(=O)C=C,C=CCOCCOC(=O)C=C
,-16,-173,ls,vinyl,C=CCOCCOC(=O)C=C,C=CCOCCOC(=O)C=C
,-96,127,ls,vinyl,C=CCOC(=O)C=C,C=CCOC(=O)C=C
,-85,25,ls,vinyl,C=CCOC(=O)C=C,C=CCOC(=O)C=C
,-97,-8,ls,vinyl,C=CCOC(=O)C=C,C=CCOC(=O)C=C
,-24,-8,ls,vinyl,C=CCOC(=O)C=C,C=CCOC(=O)C=C
,6,-173,ls,vinyl,C=CCOC(=O)C=C,C=CCOC(=O)C=C
,-109,25,ls,vinyl,C=CC#N,C=CC#N
,-84,25,ls,misc,C=CC=C,C=CC=C
,-89,25,ls,misc,C=CC=C,C=CC=C
,-106.6,,ss,vinyl,CC(C)(C)C1=CC=C(C=C1)C=C,C=Cc1ccc(C(C)(C)C)cc1
,-149,25,gg,vinyl,C=CC1=CC=CC=C1,C=Cc1ccccc1
